loss,accuracy,val_loss,val_accuracy,lr
0.5506512522697449,0.7809187173843384,0.2745119035243988,0.8959537744522095,0.0010000000474974513
0.21656487882137299,0.9173144698143005,0.29700803756713867,0.9075144529342651,0.0010000000474974513
0.1686115264892578,0.9420494437217712,0.3132449686527252,0.8930636048316956,0.0010000000474974513
0.11535444110631943,0.96042400598526,0.2363947182893753,0.939306378364563,9.999999747378752e-05
0.06461633741855621,0.9766784310340881,0.2436106652021408,0.9421965479850769,9.999999747378752e-05
0.04174279421567917,0.988692581653595,0.12833794951438904,0.9595375657081604,9.999999747378752e-05
0.040560610592365265,0.9851590394973755,0.13428360223770142,0.9479768872261047,9.999999747378752e-05
0.026550497859716415,0.9936395883560181,0.12031570822000504,0.9653179049491882,9.999999747378752e-05
0.020658109337091446,0.9950529932975769,0.16523507237434387,0.9624277353286743,9.999999747378752e-05
0.012764799408614635,0.9950529932975769,0.13747234642505646,0.9595375657081604,9.999999747378752e-05
0.01152834016829729,0.9971731305122375,0.15060019493103027,0.9566473960876465,9.999999747378752e-05
0.005386691074818373,0.9992932677268982,0.15077701210975647,0.9624277353286743,4.999999873689376e-05
0.006463290192186832,0.9985865950584412,0.10010606050491333,0.9710982441902161,4.999999873689376e-05
0.0058564250357449055,0.9985865950584412,0.11229971796274185,0.97398841381073,4.999999873689376e-05
0.003704796312376857,1.0,0.1273583471775055,0.9710982441902161,4.999999873689376e-05
0.003886930411681533,1.0,0.10884544253349304,0.97398841381073,4.999999873689376e-05
0.004965371917933226,0.9992932677268982,0.11149810999631882,0.97398841381073,2.499999936844688e-05
0.003244102234020829,1.0,0.09823121130466461,0.97398841381073,2.499999936844688e-05
0.003433861769735813,1.0,0.09868177771568298,0.97398841381073,2.499999936844688e-05
0.0034710632171481848,1.0,0.10326849669218063,0.97398841381073,2.499999936844688e-05
0.003484655637294054,1.0,0.0968046486377716,0.9768785834312439,2.499999936844688e-05
0.004014373756945133,1.0,0.10925787687301636,0.97398841381073,2.499999936844688e-05
0.003180714789777994,1.0,0.10852821171283722,0.97398841381073,2.499999936844688e-05
0.0035887944977730513,1.0,0.10106158256530762,0.9797688126564026,2.499999936844688e-05
0.003454049350693822,1.0,0.09163723140954971,0.97398841381073,1.249999968422344e-05
0.002963645150884986,1.0,0.09425381571054459,0.97398841381073,1.249999968422344e-05
0.003494648262858391,1.0,0.1174965351819992,0.97398841381073,1.249999968422344e-05
0.004144841805100441,0.9992932677268982,0.08264339715242386,0.9797688126564026,1.249999968422344e-05
0.004171404056251049,0.9992932677268982,0.08073993772268295,0.9768785834312439,1.249999968422344e-05
0.0030830504838377237,1.0,0.08664974570274353,0.97398841381073,1.249999968422344e-05
0.0030719423666596413,1.0,0.0770682618021965,0.9797688126564026,1.249999968422344e-05
0.0032549863681197166,1.0,0.10277895629405975,0.9710982441902161,1.249999968422344e-05
0.0030182180926203728,1.0,0.10896698385477066,0.9710982441902161,1.249999968422344e-05
0.0038727913051843643,0.9992932677268982,0.08348476886749268,0.9768785834312439,1.249999968422344e-05
0.0030249045230448246,1.0,0.089131198823452,0.9768785834312439,6.24999984211172e-06
0.003034469671547413,1.0,0.08901803940534592,0.9797688126564026,6.24999984211172e-06
0.0029797402676194906,1.0,0.083722785115242,0.97398841381073,6.24999984211172e-06
0.002991194138303399,1.0,0.08640863001346588,0.9768785834312439,3.12499992105586e-06
0.003007137682288885,1.0,0.10063750296831131,0.9710982441902161,3.12499992105586e-06
0.002880600979551673,1.0,0.09974654763936996,0.9710982441902161,3.12499992105586e-06
0.002940249629318714,1.0,0.09770418703556061,0.97398841381073,1.56249996052793e-06
